Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
100,200,2000,42,500,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
5,-24.4516,13,0.149425,1.74044,24.1806,460.887,86
6,-34.0799,10,0.10101,2.32808,33.4282,666.853,98
6,-18.8119,45,0.333333,3.35688,23.8355,537.992,134
6,-18.998,24,0.206897,2.78523,20.9211,484.191,115
81,-24.3294,24,0.208696,2.7643,26.2677,573.635,114
17,-20.0099,25,0.219298,3.03718,22.433,523.608,113
5,0,0,0,0,0,0,0
14,-46.506,8,0.216216,3.56832,49.3987,1120.51,36
55,-31.3465,3,0.0526316,1.5,28.8991,516.654,56
55,0,0,0,0,0,0,0
14,-27.1354,25,0.347222,3.23846,32.3183,728.173,71
55,-17.9225,16,0.210526,3.00474,20.1377,465.234,75
6,-34.819,11,0.171875,3.23239,36.4888,829.824,63
41,0,0,0,0,0,0,0
14,-22.3993,11,0.211538,3.07089,24.701,560.483,51
30,0,0,0,0,0,0,0
46,-23.0107,18,0.253521,2.87928,25.9604,534.133,70
58,-25.2236,13,0.2,2.73582,26.9594,591.182,64
90,-42.0879,0,0,1.34783,38.4357,612.02,46
14,-28.8731,27,0.313953,3.07948,33.2316,728.046,85
55,-34.9781,22,0.30137,3.01808,39.0236,842.046,72
55,0,0,0,0,0,0,0
6,-29.786,26,0.236364,2.7367,32.25,677.398,109
14,-30.3357,16,0.128,2.14129,30.037,583.352,124
83,0,0,0,0,0,0,0
30,-25.3755,17,0.246377,3.5373,28.8404,669.024,68
90,0,0,0,0,0,0,0
15,-24.7644,36,0.342857,3.65247,30.274,628.795,104
14,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
58,-29.2723,5,0.0714286,2.25756,27.9584,580.359,69
17,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
14,-33.2354,26,0.309524,2.88726,37.3131,737.28,83
90,-18.8356,31,0.260504,3.20866,22.2543,520.841,118
6,-24.614,15,0.180723,2.86879,26.0973,521.064,82
6,-26.5825,21,0.272727,3.51589,30.553,693.378,76
99,-22.0254,13,0.183099,1.74728,22.4346,421.165,70
58,-31.4094,6,0.101695,1.52951,29.9728,534.602,58
91,-23.4393,16,0.161616,2.28231,23.9539,485.095,98
55,-29.9273,29,0.263636,1.98757,32.1876,601.09,109
30,-23.7545,1,0.0105263,1.30302,20.2681,363.358,94
14,-49.8131,8,0.173913,2.65797,50.9493,1051,45
55,-17.6835,45,0.478723,3.872,26.1299,629.617,93
40,-18.7096,34,0.295652,3.0077,22.6304,520.688,114
91,-29.1359,7,0.0744681,1.81686,27.4421,489.702,93
27,0,0,0,0,0,0,0
27,-32.8553,19,0.267606,2.36519,35.5726,738.983,70
91,-33.2724,15,0.148515,2.05208,33.2948,598.99,100
14,-27.7183,34,0.336634,3.34059,32.7916,648.488,100
6,-25.398,15,0.283019,3.98803,30.0464,726.222,52
21,-24.3327,6,0.0740741,1.70432,22.5185,413.074,80
5,-47.3121,22,0.289474,3.63386,51.7354,1115.64,75
14,-18.0843,18,0.24,2.5764,20.4607,436.364,74
55,-22.0588,17,0.232877,2.70225,24.4186,477.581,72
15,-20.4066,21,0.182609,2.51381,21.5726,454.514,114
6,-19.1339,10,0.149254,1.70059,18.8195,340.797,66
55,-21.4836,46,0.4,2.76049,27.2441,560.393,114
14,-18.5845,23,0.255556,3.17715,21.8728,497.458,89
55,-19.5585,21,0.175,2.62136,20.6798,455.983,119
30,-24.7624,20,0.227273,2.84796,27.1558,504.527,87
90,-22.7444,27,0.247706,3.01181,25.7103,576.463,108
30,-48.7791,9,0.138462,2.65865,49.207,863.945,64
22,-18.256,16,0.216216,2.80341,20.3837,455.397,73
17,-20.8228,15,0.107914,1.95277,19.9338,393.007,138
30,-18.95,31,0.516667,4.1548,28.4381,696.965,59
41,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
81,-27.4913,24,0.252632,2.94793,30.4918,689.558,94
99,-18.8192,22,0.217822,2.72515,20.9008,451.277,100
14,-24.7719,10,0.15873,2.48694,25.4334,536.602,62
58,-26.0609,17,0.178947,2.88847,27.5283,604.815,94
22,0,0,0,0,0,0,0
14,-22.1923,25,0.320513,2.95688,26.5594,560.052,77
58,-18.2234,20,0.212766,2.98719,20.4659,470.086,93
14,-17.6901,29,0.210145,2.862,19.755,501.138,137
55,-22.3425,20,0.176991,2.58605,23.4684,531.853,112
55,-38.8008,11,0.183333,2.38418,39.8517,860.314,59
83,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
72,-20.8088,0,0,1.61765,17.4265,313.993,16
90,-33.5284,19,0.204301,2.89084,35.5053,760.796,92
30,-18.6825,27,0.306818,3.61429,23.4331,484.931,87
90,-26.2114,4,0.043956,1.421,23.5115,432.793,90
14,0,0,0,0,0,0,0
55,-21.1753,7,0.134615,2.95249,21.8201,493.515,51
99,-49.0007,4,0.108108,2.31456,48.4775,1010.72,36
58,0,0,0,0,0,0,0
99,-26.0649,8,0.0740741,1.87972,24.4261,458.841,107
21,-49.465,11,0.180328,2.39945,50.471,884.218,60
22,0,0,0,0,0,0,0
5,-41.6788,9,0.176471,3.02823,43.2365,945.003,50
14,-19.6359,14,0.28,3.70653,23.9424,610.806,49
41,-108.403,1,0.111111,2.81944,108.444,2381.97,8
14,0,0,0,0,0,0,0
14,-33.129,2,0.0645161,1.54839,30.9677,552.09,30
27,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
