Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
100,200,2000,42,500,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
9,-22.5543,48,0.615385,4.504,34.366,810.766,77
33,0,0,0,0,0,0,0
83,-22.9114,17,0.157407,2.64607,23.7056,503.28,107
55,-21.939,51,0.439655,3.93283,29.6649,650.053,115
92,-64.3399,7,0.304348,2.98814,68.415,1326.68,22
5,0,0,0,0,0,0,0
99,-51.5398,8,0.242424,3.02557,54.4138,1100.92,32
24,-28.4288,23,0.252747,3.34347,31.8272,721.445,90
83,0,0,0,0,0,0,0
76,-40.2712,30,0.365854,3.04803,45.6363,866.505,81
17,-30.1214,19,0.208791,3.35238,32.6496,729.098,90
15,-33.4428,9,0.138462,2.0101,33.2221,681.458,64
91,0,0,0,0,0,0,0
32,-19.3882,24,0.369231,2.75793,24.5308,563.463,64
55,-39.5093,6,0.142857,2.38328,39.7497,784.613,41
9,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
81,-52.6547,4,0.0588235,2.32177,51.153,1034.88,67
83,-48.1935,16,0.205128,2.0368,49.3328,919.309,77
30,-33.6127,19,0.193878,2.97717,35.4674,702.836,97
14,0,0,0,0,0,0,0
92,-44.1929,9,0.15,2.22599,44.4189,825.573,59
15,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,-42.6358,11,0.123596,2.34282,42.4506,841.18,88
24,-20.9479,16,0.120301,2.52643,20.8803,475.985,132
14,-35.0532,7,0.0972222,2.53736,34.535,717.05,71
83,-23.5468,14,0.175,2.4299,24.4767,528.076,79
58,-21.3078,15,0.194805,3.01623,23.2201,511.628,76
89,-29.7536,26,0.245283,2.79506,32.4544,700.472,105
46,-36.8374,10,0.149254,1.6081,36.4306,599.012,66
88,-50000,0,0,0,0,0,0
46,0,0,0,0,0,0,0
90,-40.0646,12,0.12766,2.24056,39.8584,764.613,93
90,-36.13,8,0.0869565,2.11228,34.9814,693.755,91
14,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
15,-23.4993,25,0.284091,2.09822,26.2794,530.667,87
21,-34.0574,23,0.489362,3.45698,42.3016,875.642,46
17,-20.9214,29,0.295918,2.59289,24.4327,493.805,97
99,-43.9085,29,0.453125,2.80828,50.7793,969.066,63
55,0,0,0,0,0,0,0
17,-34.102,6,0.0740741,2.59321,33.1767,604.192,80
15,-20.8434,15,0.132743,1.73159,20.2298,374.847,112
91,-33.4722,7,0.0972222,2.70266,33.1193,740.25,71
33,0,0,0,0,0,0,0
90,-24.4922,19,0.223529,2.75812,26.7209,529.041,84
27,-67.5992,1,0.0285714,2.28235,65.4529,1253.62,34
33,0,0,0,0,0,0,0
71,-38.3673,12,0.179104,2.53867,39.488,842.466,66
14,-19.9503,20,0.163934,2.57472,20.8037,452.869,121
72,-24.8053,34,0.414634,3.98766,32.0857,708.761,81
17,-21.4154,19,0.19,2.8104,23.0258,506.818,99
41,-25.5594,54,0.388489,3.73574,32.065,678.576,138
55,-32.8072,8,0.126984,2.05274,32.3996,612.619,62
40,-22.1528,8,0.186047,3.33832,24.2121,616.839,42
40,-22.2594,19,0.365385,3.62293,28.19,565.867,51
55,0,0,0,0,0,0,0
83,-29.6844,27,0.272727,1.9966,32.1355,578.058,98
40,-30.1969,22,0.252874,1.64715,31.9015,557.354,86
22,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
27,-37.3708,51,0.459459,3.70237,45.2623,960.23,110
58,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
41,-37.6914,12,0.131868,2.15409,37.4829,744.769,90
46,-38.4959,37,0.385417,3.44879,44.6531,906.475,95
55,-19.9844,14,0.16092,1.97354,20.1763,389.688,86
83,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0
55,-34.3485,17,0.193182,2.46291,35.675,784.467,87
83,-30.7544,12,0.12766,2.13063,30.4382,584.357,93
88,-34.38,1,0.04,1.15333,31.3333,544.68,24
27,-22.3917,20,0.298507,2.57757,25.9394,560.401,66
99,-22.644,14,0.123894,2.11149,22.2333,464.399,112
6,-20.537,6,0.075,1.47832,18.5153,351.535,79
14,-48.3106,29,0.273585,2.98886,51.7712,1012.02,105
32,-42.0332,6,0.0895522,2.11081,40.9351,698.033,66
81,-22.8947,34,0.25,3.06923,25.9639,572.995,135
41,-24.4354,13,0.115044,1.68955,23.4258,453.558,112
14,-50000,0,0,0,0,0,0
91,-75.2379,6,0.133333,2.83131,75.7359,1565.49,44
40,-18.9009,15,0.217391,2.62873,20.8774,488.753,68
55,0,0,0,0,0,0,0
71,-26.5012,23,0.302632,2.32333,29.8772,588.952,75
9,-23.0638,8,0.0714286,1.82714,21.3195,427.199,111
17,-18.9354,1,0.0188679,1.20972,15.5225,285.7,52
90,-30.2175,21,0.212121,2.07926,31.5392,625.049,98
32,-23.3685,19,0.275362,3.17199,27.0477,513.155,68
9,-20.897,29,0.376623,4.00923,27.4387,629.566,76
83,-53.9749,10,0.204082,3.07781,56.1344,1129.19,48
21,-49.1941,7,0.0972222,2.41647,48.555,927.919,71
90,-39.7513,14,0.205882,3.39662,42.2656,932.219,67
72,-27.2795,25,0.201613,2.07848,28.3902,591.414,123
46,-45.4501,1,0.037037,1.75499,42.9459,696.828,26
5,0,0,0,0,0,0,0
55,-33.4398,6,0.0535714,1.75072,31.262,568.181,111
22,-34.8954,15,0.141509,2.30737,35.033,662.948,105
6,-41.7223,16,0.161616,2.44042,42.3951,829.149,98
