Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
100,200,2000,42,500,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
55,-21.828,28,0.35,3.81646,27.6445,698.834,79
33,-22.6501,15,0.182927,2.30789,23.6165,472.763,81
99,-32.0044,21,0.179487,2.4429,33.0371,665.638,116
17,-20.4553,33,0.279661,3.11538,24.1639,598.878,117
14,-19.8444,10,0.113636,1.85933,18.9765,377.674,87
46,-19.2419,25,0.362319,3.99403,25.4823,586.734,68
58,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
5,-35.6815,7,0.107692,2.5851,35.4204,814.798,64
14,-25.2012,16,0.197531,2.3804,26.5323,527.912,80
91,-23.7747,8,0.0860215,2.66632,23.1614,548.953,92
15,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
24,-23.5596,27,0.241071,3.04513,26.4262,592.127,111
83,-21.2976,18,0.264706,3.16923,24.761,617.956,67
33,-23.1975,17,0.158879,2.81952,24.1946,577.999,106
55,-25.7041,10,0.0862069,2.41439,24.8427,570.252,115
46,-27.6351,8,0.186047,2.61683,28.9729,657.569,42
14,0,0,0,0,0,0,0
55,-26.0204,19,0.253333,2.60901,28.696,552.849,74
55,0,0,0,0,0,0,0
89,-30.7455,29,0.295918,3.18557,34.8495,805.809,97
83,-19.9981,36,0.283465,3.27953,23.9469,540.399,126
27,-28.4733,7,0.0921053,2.01895,27.3344,516.544,75
83,-25.821,42,0.336,3.27258,30.8136,652.78,124
91,-21.0017,17,0.178947,1.82273,21.4034,407.406,94
22,-22.9291,15,0.277778,2.92767,26.4123,597.135,53
30,-28.3025,5,0.0847458,2.84103,27.8384,557.024,58
83,-21.7223,32,0.421053,3.78842,28.9318,621.105,75
88,-24.803,3,0.0566038,2.50653,23.4416,550.478,52
27,0,0,0,0,0,0,0
90,-22.9498,37,0.276119,3.32202,26.7942,564.1,133
6,-20.0232,10,0.175439,2.74373,21.2757,588.889,56
30,-24.3724,24,0.235294,2.9336,27.0119,607.291,101
14,-21.037,25,0.240385,2.69875,23.5434,523.73,103
30,-31.5894,6,0.0714286,2.53701,30.5549,639.474,83
15,-20.5019,5,0.125,1.77436,19.7763,379.413,39
91,0,0,0,0,0,0,0
58,-34.8176,8,0.156863,2.79333,35.7482,703.841,50
17,0,0,0,0,0,0,0
40,-20.1002,10,0.151515,3.04033,21.1709,490.742,65
90,-30.2056,12,0.16,3,31.4056,679.205,74
55,-25.2544,19,0.260274,2.67085,28.1307,595.032,72
5,-28.1642,23,0.25,2.98531,31.1495,628.646,91
14,0,0,0,0,0,0,0
15,-26.8518,9,0.116883,2.74077,26.9303,619.988,76
17,0,0,0,0,0,0,0
33,-23.3032,11,0.139241,2.4716,23.5596,471.521,78
55,-22.2718,20,0.21978,2.53602,24.2034,493.922,90
58,-19.8202,21,0.276316,3.15403,23.5005,517.591,75
55,-27.2221,7,0.145833,2.55629,27.695,598.629,47
46,-32.7956,24,0.358209,3.41565,38.3754,767.114,66
22,-35.7097,16,0.163265,2.79981,36.7748,829.886,97
90,-20.9635,10,0.294118,3.63904,25.4848,633.756,33
58,0,0,0,0,0,0,0
81,-21.8101,34,0.257576,3.01209,24.9737,552.125,131
55,-21.8771,31,0.254098,3.15242,25.1115,562.866,121
9,-20.9472,21,0.28,2.9573,24.5045,560.506,74
21,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
27,-24.0807,30,0.280374,2.76644,27.4546,581.797,106
83,-33.8542,5,0.0833333,2.40057,32.9215,688.863,59
99,-27.6284,13,0.154762,2.53084,28.2544,558.513,83
72,-20.8363,40,0.32,3.13103,25.3674,584.281,124
55,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
33,-23.9439,29,0.245763,2.69767,26.5569,547.323,117
6,0,0,0,0,0,0,0
55,-36.0363,12,0.144578,2.73611,36.664,758.961,82
99,-20.6162,16,0.144144,1.7819,20.281,406.76,110
41,-27.0229,25,0.297619,2.95353,30.9289,657.207,83
14,-25.4014,8,0.0987654,2.55926,24.936,611.635,80
90,-27.2733,11,0.0901639,2.46985,26.5465,606.071,121
14,-38.7723,16,0.266667,2.82599,41.9316,792.616,59
14,-25.6825,33,0.244444,2.82371,28.3951,581.821,134
90,-23.3143,9,0.257143,3.1916,26.6487,572.144,34
71,0,0,0,0,0,0,0
22,-25.9063,11,0.129412,2.72311,26.2176,570.227,84
55,-27.0194,10,0.163934,2.73224,28.0303,566.507,60
30,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
14,-31.3008,12,0.115385,2.26466,30.8731,610.731,103
55,0,0,0,0,0,0,0
27,-26.673,4,0.0677966,2.06108,25.09,492.174,58
58,-26.69,17,0.207317,3.10705,28.9434,557.213,81
6,-30.1544,24,0.380952,3.47977,36.2532,852.979,62
72,-28.1481,11,0.125,2.56126,28.2094,615.787,87
91,-24.3409,26,0.172185,2.62569,25.4103,559.442,150
83,-34.6464,11,0.129412,2.54174,34.7763,667.602,84
40,-22.6105,14,0.269231,3.47398,26.4691,629.477,51
14,-24.3845,11,0.2,2.62155,26.0061,508.205,54
14,-40.2771,14,0.482759,4.14901,49.0813,1087.39,28
89,-22.7642,12,0.10084,1.98825,21.7693,430.518,118
17,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
6,-19.2439,26,0.276596,2.86605,22.6418,468.555,93
14,-25.6982,10,0.113636,2.49399,25.4649,541.174,87
40,0,0,0,0,0,0,0
14,-31.7766,16,0.153846,3.03239,32.8859,718.234,103
