Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
100,200,2000,42,500,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
27,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
17,-29.6466,15,0.217391,3.0292,32.0237,720.46,68
30,-26.0145,9,0.111111,2.52947,25.7662,569.549,80
15,-34.3405,14,0.12844,2.57518,34.4845,700.796,108
40,-30.7108,9,0.108434,2.33397,30.2135,570.572,82
90,-28.5894,21,0.265823,3.2483,32.1542,750.445,78
17,-24.8859,20,0.5,3.47244,33.3583,890.203,39
91,-30.1108,18,0.257143,3.07205,33.3257,668.883,69
17,-30.7384,20,0.246914,2.62346,33.3002,711.886,80
21,-29.5369,12,0.10084,2.56374,29.1174,605.616,118
6,-36.3168,14,0.237288,2.83635,38.8989,728.455,58
58,0,0,0,0,0,0,0
22,-29.967,14,0.181818,2.65396,31.2573,687.842,76
21,0,0,0,0,0,0,0
55,-23.5056,21,0.238636,2.61194,25.8903,549.116,87
55,-22.9942,30,0.3,2.50121,26.4955,557.922,99
89,-23.9488,10,0.0813008,2.34859,22.9234,533.075,122
55,-23.0672,18,0.321429,3.20974,27.7055,698.195,55
90,-39.5388,17,0.239437,2.95855,42.2861,832.011,70
30,-21.901,13,0.183099,3.10563,23.6686,607.443,70
58,-31.3458,16,0.197531,2.42917,32.7256,614.201,80
90,0,0,0,0,0,0,0
88,-41.0109,10,0.16129,2.75066,41.9873,793.367,61
5,0,0,0,0,0,0,0
15,-27.5178,19,0.327586,2.75771,31.8273,691.861,57
81,-22.6733,19,0.240506,2.67527,25.1587,500.333,78
14,-23.1824,36,0.25,2.68828,25.8706,536.916,143
55,0,0,0,0,0,0,0
15,-27.5706,25,0.294118,2.99664,31.4496,677.953,84
55,-29.2742,19,0.24359,2.87895,32.025,692.6,77
55,-42.1258,19,0.197917,2.86458,43.9487,930.8,95
14,-29.0976,8,0.109589,2.31202,28.6014,543.554,72
55,-41.1398,7,0.12963,2.1775,40.9099,766.914,53
14,0,0,0,0,0,0,0
27,-36.8784,22,0.164179,2.60874,37.7707,756.731,133
14,-39.2436,16,0.131148,2.76101,39.6276,865.308,121
55,-50000,0,0,0,0,0,0
14,-22.3625,22,0.138365,2.45486,22.5847,480.083,158
58,-31.3087,15,0.154639,3.03136,32.4329,736.831,96
83,-21.6685,23,0.306667,3.18487,25.9867,549.583,74
14,-22.2053,28,0.210526,2.81528,24.2312,514.796,132
55,-26.2374,38,0.267606,2.71371,29.3032,627.672,141
72,-21.7832,28,0.341463,3.06519,26.6777,549.501,81
90,-35.0478,6,0.0923077,2.23438,34.1284,675.006,64
55,0,0,0,0,0,0,0
30,-24.6717,40,0.264901,2.43002,27.3997,546.58,150
58,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0
14,-24.5668,21,0.165354,2.63792,25.5118,540.994,126
27,-31.7875,9,0.132353,2.40255,31.8371,624.034,67
99,-38.5962,6,0.115385,2.81297,38.7168,750.792,51
14,0,0,0,0,0,0,0
17,-27.4873,8,0.112676,2.25916,27,564.779,70
55,-25.4286,18,0.185567,2.51686,26.6568,636.158,96
15,-30.7214,22,0.174603,2.6939,31.9074,692.71,125
90,-26.4998,27,0.264706,3.25024,30.0442,689.7,101
14,-23.594,6,0.0697674,1.9067,21.896,421.56,85
21,-27.863,4,0.0597015,2.45387,26.5108,600.986,66
46,-37.3222,11,0.13253,2.52072,37.4935,794.496,82
22,-23.4118,24,0.255319,2.77808,26.2963,549.914,93
17,-25.9798,21,0.259259,2.9267,29.0917,591.092,80
14,-41.3512,14,0.208955,2.68634,43.2166,876.709,66
5,0,0,0,0,0,0,0
83,-44.0988,2,0.0869565,2.77866,43.6166,821.306,22
6,0,0,0,0,0,0,0
17,-29.9742,11,0.144737,2.22684,30.0958,616.425,75
30,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
30,-45.7979,11,0.189655,3.08348,47.6745,905.098,57
14,0,0,0,0,0,0,0
55,-40.4645,21,0.238636,3.52247,43.7597,995.901,87
6,-27.6456,11,0.142857,2.9877,28.4904,617.759,76
40,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0
58,-36.3354,32,0.347826,3.45999,41.7519,891.428,91
83,0,0,0,0,0,0,0
90,-27.5857,25,0.25,2.93626,30.5219,672.43,99
30,-50000,0,0,0,0,0,0
55,-30.938,15,0.164835,3.05971,32.2944,700.264,90
99,-24.2395,22,0.30137,2.93683,28.2038,626.685,72
14,-24.2926,6,0.109091,2.41212,23.8865,458.15,54
90,-26.1728,12,0.153846,2.93373,27.1835,584.533,77
40,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
83,-25.6865,16,0.242424,2.64895,28.1839,568.619,65
14,-34.3198,3,0.0833333,2.50317,33.4897,793.182,35
99,-37.7502,14,0.16092,2.81369,38.7823,833.375,86
6,-27.7398,26,0.298851,3.6251,32.3419,792.617,86
91,0,0,0,0,0,0,0
22,-23.9542,2,0.0540541,2.11486,22.1502,618.183,36
55,-40.2767,17,0.314815,3.17331,44.7463,825.415,53
30,-41.1444,8,0.235294,2.75579,43.6061,910.084,33
30,0,0,0,0,0,0,0
58,-23.0879,13,0.139785,2.55341,23.437,465.339,92
6,-25.7069,35,0.324074,2.69496,29.8834,638.039,107
14,-25.0611,4,0.0645161,2.68641,24.0378,565.485,61
14,-30.2477,10,0.119048,2.83333,30.462,690.089,83
58,-37.6201,9,0.0909091,2.44723,36.8855,729.685,98
6,0,0,0,0,0,0,0
