Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
100,200,2000,42,500,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
41,-45.5063,19,0.204301,2.79067,47.383,954.921,92
27,-64.1409,11,0.244444,3.47525,67.5051,1473.26,44
21,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
55,-27.7771,33,0.44,3.47297,35.0501,708.461,74
99,-39.3184,28,0.35443,3.29844,44.7055,944.94,78
40,-37.5198,16,0.158416,2.69178,38.3799,761.743,100
83,-30.5713,25,0.367647,3.27151,36.1958,782.955,67
91,-49.036,9,0.134328,2.50294,49.2255,925.334,66
40,-39.8524,17,0.414634,3.25793,46.4031,892.351,40
17,-68.1633,0,0,1.2,64.3633,949.768,24
99,-35.9552,10,0.113636,2.21408,35.442,611.119,87
9,-35.3728,4,0.0454545,1.56374,32.8456,558.934,87
46,-49.2719,4,0.043956,2.10977,47.2608,819.965,90
9,-30.0235,18,0.272727,2.5986,33.0767,673.451,65
14,-1.3334e+07,82,0.602941,-1.3334e+07,28.6948,643.421,135
33,-42.5555,14,0.109375,2.31416,42.0571,859.349,127
9,0,0,0,0,0,0,0
33,-43.8636,29,0.386667,3.30577,49.9027,985.25,74
71,-29.8659,18,0.315789,2.79355,33.9753,656.824,56
15,-26.3191,42,0.251497,2.74132,29.0904,587.452,166
15,-37.422,20,0.235294,2.03515,39.163,742.727,84
27,0,0,0,0,0,0,0
90,-28.1066,9,0.0775862,2.32901,26.9873,486.019,115
90,-24.4725,4,0.0625,1.22024,21.9427,364.754,63
55,-27.8006,61,0.340782,3.14199,32.7583,679.793,178
90,-46.7029,8,0.153846,1.91516,46.695,823.221,51
22,-33.9513,3,0.0428571,1.77826,31.5867,590.393,69
99,-39.5842,9,0.130435,2.40708,39.6,825.161,68
14,-44.7871,9,0.109756,2.25008,44.2323,904.918,81
91,-30.8141,20,0.425532,4.00971,38.3344,956.064,46
6,0,0,0,0,0,0,0
24,-35.8815,9,0.130435,1.85635,35.3465,632.988,68
27,-28.0452,19,0.180952,2.48544,29.1497,612.454,104
81,-42.1422,10,0.175439,2.73715,43.3882,918.26,56
55,0,0,0,0,0,0,0
30,-23.175,21,0.153285,2.75156,23.9922,503.564,136
83,-35.7982,35,0.37234,2.67399,40.919,777.51,93
15,-1.30136e+07,33,0.246269,-1.30135e+07,29.4605,563.188,133
33,0,0,0,0,0,0,0
40,-40.1402,11,0.180328,3.14809,41.8948,861.661,60
6,0,0,0,0,0,0,0
72,-34.2448,10,0.27027,3.53078,38.1809,793.98,36
46,-26.6565,4,0.0909091,1.22093,24.6956,424.913,43
5,-39.4647,18,0.24,3.49388,42.7586,962.723,74
27,-25.6572,25,0.2,2.92458,27.5818,634.862,124
55,-35.9767,6,0.0882353,1.85536,34.5968,664.861,67
46,-25.3397,11,0.13253,2.45666,25.447,576.772,82
41,-32.1585,13,0.317073,2.43963,35.9396,766.016,40
83,0,0,0,0,0,0,0
6,-53.1474,4,0.0615385,1.60529,50.9834,863.011,64
55,0,0,0,0,0,0,0
91,-63.5721,6,0.075,2.37674,62.4489,1196.68,79
30,0,0,0,0,0,0,0
17,-37.5652,2,0.0833333,2.42029,36.6522,710.487,23
46,-34.409,4,0.05,2.39604,32.8051,697.117,79
15,-24.4135,20,0.15748,3.07612,25.6392,538.76,126
71,-49.4152,14,0.168675,2.89818,50.6869,1046.71,82
22,-30.4045,2,0.03125,1.20387,27.2334,431.115,63
17,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
5,-54.7841,1,0.0163934,1.97814,52.0902,941.527,60
58,-50.8315,25,0.431034,3.02813,57.4804,1152.8,57
33,-36.2747,5,0.0943396,2.10668,35.2681,726.123,52
58,-37.123,9,0.169811,1.94557,37.4648,753.309,52
40,-26.5263,14,0.12963,1.7879,25.9068,500.565,107
14,-42.3402,2,0.0327869,1.70628,39.7022,689.692,60
14,0,0,0,0,0,0,0
88,-36.1446,42,0.368421,3.8057,42.3187,867.685,113
55,-29.0974,32,0.395062,3.40077,35.3994,712.687,80
5,-28.7319,29,0.367089,2.84307,33.9167,647.879,78
40,-30.0301,29,0.254386,2.60984,32.7277,621.322,113
83,0,0,0,0,0,0,0
99,-54.2357,1,0.047619,1.63333,51.8214,920.45,20
14,-33.7842,3,0.047619,1.6659,31.4025,572.546,62
91,0,0,0,0,0,0,0
99,-31.9957,19,0.133803,2.47003,32.1418,686.295,141
17,-35.9753,21,0.25,2.23551,38.2108,768.402,83
14,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
21,-37.2821,9,0.1125,2.11566,36.6478,642.989,79
58,-38.1687,35,0.294118,3.24056,42.2916,879.881,118
83,-37.1502,7,0.112903,1.58831,35.9966,629.136,61
89,0,0,0,0,0,0,0
33,-35.3553,7,0.07,1.97374,33.729,687.149,99
22,-28.8711,19,0.166667,2.30019,29.5047,573.068,113
55,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
90,-28.7894,13,0.160494,2.12253,29.1218,585.176,80
27,-37.4782,23,0.294872,3.52597,41.9016,955.325,77
55,-42.2247,15,0.197368,3.38404,44.5561,933.437,75
72,-41.1598,23,0.365079,2.93651,46.3979,934.211,62
14,-44.3258,9,0.272727,3.55492,48.3352,1221.94,32
90,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
14,-95.2964,2,0.0869565,2.33992,94.3755,1672.37,22
58,-29.222,15,0.159574,2.16026,29.5738,612.488,93
46,-39.6613,17,0.274194,3.4614,43.6066,996.037,61
