Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
100,200,2000,42,500,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
54,-20.6844,24,0.210526,2.39753,22.2924,496.578,113
56,-24.0606,25,0.203252,2.36732,25.4929,548.279,122
41,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
55,-22.3793,38,0.301587,2.59048,26.0015,534.896,125
88,-21.4804,23,0.333333,3.50021,26.6473,559.411,68
61,-39.8251,1,0.0227273,1.43499,36.7146,604.297,43
44,-24.6721,16,0.195122,2.60569,26.1802,617.966,81
71,-21.3652,8,0.0714286,1.76271,19.5565,416.032,111
97,-22.0841,41,0.303704,3.1042,26.2624,596.626,134
93,-25.2602,4,0.129032,2.28065,25.1215,554.732,30
28,-27.749,6,0.1875,2.78327,29.2823,581.979,31
58,0,0,0,0,0,0,0
6,-17.3066,24,0.235294,2.76374,19.7763,433.922,101
69,-18.4675,24,0.235294,2.36323,20.5366,454.337,101
85,-25.6564,28,0.269231,2.00803,28.049,519.555,103
52,-18.7761,32,0.251969,3.40289,22.2183,564.943,126
14,-17.1724,18,0.253521,2.90825,20.1511,442.419,70
99,0,0,0,0,0,0,0
31,-24.9657,14,0.202899,2.98913,27.0128,574.234,68
25,-21.0256,16,0.170213,2.85015,22.28,496.194,93
91,0,0,0,0,0,0,0
80,-19.0119,25,0.304878,2.77236,22.8818,512.687,81
5,-17.9327,44,0.280255,2.67561,21.2134,439.85,156
92,-20.0425,16,0.326531,3.14116,24.7143,597.032,48
34,-17.6384,11,0.171875,1.69072,17.7666,401.233,63
2,0,0,0,0,0,0,0
24,-19.8823,4,0.0689655,1.79583,18.0575,354.862,57
88,0,0,0,0,0,0,0
93,-18.2359,18,0.272727,3.10303,21.7935,525.029,65
83,0,0,0,0,0,0,0
93,-24.6704,12,0.142857,1.74943,24.277,445.58,83
27,-18.6593,34,0.382022,3.12436,24.4242,520.255,88
46,-19.5336,27,0.267327,3.0104,22.8905,547.904,100
22,-19.1978,6,0.075,1.81424,17.512,352.599,79
41,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
76,-27.7574,3,0.0447761,1.59227,25.2451,457.353,66
33,-23.9557,16,0.242424,3.33706,27.1413,624.807,65
33,-22.2265,11,0.135802,2.65093,22.5935,570.064,80
83,-25.7561,18,0.352941,3.21765,31.0325,708.847,50
38,0,0,0,0,0,0,0
55,-20.8215,18,0.165138,2.51996,21.6442,441.32,108
58,0,0,0,0,0,0,0
52,-20.1992,5,0.0980392,1.67686,18.8369,365.115,50
46,-16.9357,27,0.259615,2.68979,19.8178,433.982,103
21,-19.2784,22,0.338462,3.10697,24.1546,540.747,64
51,-19.5961,25,0.304878,2.97124,23.6649,553.524,81
55,-19.983,24,0.230769,2.92812,22.5265,498.765,103
81,-19.5584,15,0.294118,3.19294,23.6337,555.378,50
55,-17.4743,42,0.276316,2.99277,20.9934,501.593,151
30,-20.9011,9,0.0891089,1.62277,19.306,376.157,100
33,-21.6893,22,0.282051,3.56111,25.8914,604.676,77
26,0,0,0,0,0,0,0
33,-20.2924,23,0.280488,2.55796,23.4601,499.073,81
55,0,0,0,0,0,0,0
17,-23.8671,15,0.202703,2.81025,25.7314,567.213,73
92,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
76,-18.8909,5,0.078125,1.99876,17.4521,378.969,63
71,-22.978,9,0.109756,2.28606,22.4592,522.324,81
35,-22.776,18,0.153846,2.54561,23.3985,525.306,116
78,-29.0796,2,0.047619,1.43147,26.4634,456.79,41
32,-18.8145,37,0.373737,3.21336,24.5026,551.345,98
56,-19.5338,14,0.153846,2.53687,20.1476,505.539,90
39,-18.4899,16,0.170213,1.95871,18.8529,359.294,93
67,-27.2291,19,0.292308,2.78341,30.8587,709.131,64
72,-19.0208,3,0.0508475,2.1768,17.2145,435.626,58
14,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
61,-17.8338,6,0.113208,2.40421,17.5022,416.71,52
32,-33.0647,9,0.195652,2.54348,34.5212,710.993,45
22,-22.5582,10,0.16129,2.37837,23.1623,487.772,61
61,-19.317,17,0.220779,2.35031,21.0829,433.228,76
67,-18.3282,35,0.330189,3.10728,23.0393,491.796,105
92,0,0,0,0,0,0,0
6,-19.3075,18,0.125,2.18342,18.991,398.873,143
58,-17.3202,16,0.150943,1.89182,17.2309,322.54,105
43,0,0,0,0,0,0,0
1,-18.4155,17,0.204819,2.7226,20.2345,484.189,82
92,-28.3202,10,0.126582,2.148,27.9998,522.183,78
89,-25.7079,22,0.44898,3.50043,33.1879,761.117,48
5,-16.9377,42,0.289655,3.17811,20.909,507.682,144
40,0,0,0,0,0,0,0
17,-27.6772,2,0.031746,1.70353,25.0156,464.654,62
90,-18.7526,10,0.25,2.15769,20.9103,419.21,39
92,-20.2784,15,0.137615,2.11816,20.1488,412.776,108
89,-22.1687,9,0.0918367,1.92994,20.9354,400.424,97
5,0,0,0,0,0,0,0
33,-23.5142,13,0.104,1.59594,22.1901,408.252,124
89,-21.9281,24,0.303797,2.96754,25.9716,553.696,78
31,-17.917,12,0.171429,2.73375,19.0793,442.342,69
5,-22.2081,5,0.078125,1.40253,20.1731,345.226,63
15,-23.0788,26,0.276596,3.24434,26.8551,606.451,93
71,-21.4192,14,0.245614,2.29229,23.6238,502.125,56
58,-18.8883,7,0.0886076,1.61847,17.279,374.824,78
9,0,0,0,0,0,0,0
91,-17.4628,24,0.193548,2.01574,18.3495,380.164,123
