Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
100,200,2000,42,500,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
51,-19.6889,16,0.146789,2.49796,20.1227,487.394,108
41,0,0,0,0,0,0,0
67,-19.6146,21,0.216495,2.53232,21.4768,499.07,96
78,-25.0448,15,0.3125,2.54167,28.8364,633.836,47
67,-18.7873,4,0.111111,2.2754,18.2849,445.7,35
17,0,0,0,0,0,0,0
71,-24.1608,9,0.176471,2.54902,25.2392,580.083,50
58,0,0,0,0,0,0,0
31,-31.1945,3,0.0731707,1.61341,29.2713,512.712,40
5,-20.6406,14,0.21875,2.95461,22.9702,568.848,63
55,-26.8969,9,0.0891089,2.33683,26.0159,585.152,100
61,-17.5407,19,0.228916,2.60329,19.7223,423.997,82
56,-21.1329,19,0.134752,2.4962,21.3242,455.169,140
38,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
41,-20.4274,11,0.164179,1.94776,20.6588,444.514,66
2,-19.5354,20,0.273973,3.06031,23.0751,550.502,72
9,-19.0105,33,0.240876,2.36459,21.1926,454.889,136
14,-19.5378,27,0.36,3.62847,25.3663,620.209,74
83,0,0,0,0,0,0,0
92,-22.1647,16,0.246154,3.03558,25.1233,560.477,64
55,-20.3846,20,0.2,2.37828,21.7628,468.332,99
72,0,0,0,0,0,0,0
43,-20.6275,23,0.201754,2.91282,22.5755,499.936,113
93,-22.0225,19,0.134752,2.62852,22.3461,529.315,140
92,0,0,0,0,0,0,0
72,-20.6859,8,0.145455,1.64108,20.236,389.541,54
88,-17.6745,25,0.210084,2.89823,19.7744,446.018,118
34,-26.2632,1,0.0526316,2.27485,24.5906,476.751,18
26,-22.6965,20,0.322581,3.3284,27.4765,599.796,61
72,-18.2195,32,0.251969,2.72278,20.9817,516.169,126
33,-17.9305,10,0.16129,2.35087,18.5071,422.777,61
33,-20.3265,30,0.225564,2.27398,22.1118,436.973,132
76,0,0,0,0,0,0,0
40,-23.835,20,0.25641,2.90243,26.8656,596.493,77
1,-24.9817,15,0.172414,2.77453,26.2045,615.519,86
9,0,0,0,0,0,0,0
92,-21.0743,17,0.193182,2.22166,22.1596,452.648,87
55,-22.0413,16,0.2,2.91646,23.9578,520.93,79
58,-17.4882,40,0.291971,3.46361,21.7912,504.627,136
38,-22.838,12,0.146341,2.23472,22.9996,532.944,81
93,-19.6855,20,0.166667,2.42031,20.4391,444.572,119
35,-19.156,19,0.215909,2.81792,21.2921,504.77,87
92,-19.4233,6,0.125,2.38608,19.3094,398.117,47
89,-25.8744,9,0.1125,2.2193,25.3437,533.059,79
35,0,0,0,0,0,0,0
71,-18.4246,6,0.0722892,1.74743,16.6178,332.758,82
89,-17.8503,15,0.441176,3.34492,25.0187,535.049,33
58,0,0,0,0,0,0,0
33,-24.09,2,0.0606061,1.29356,21.5956,368.604,32
27,-62.2762,3,0.142857,3.07143,63.2048,1456.37,20
30,0,0,0,0,0,0,0
27,-19.5747,18,0.191489,2.51956,20.924,512.893,93
71,-22.3556,10,0.135135,2.36598,22.4243,500.021,73
52,-21.5609,11,0.117021,2.05193,20.9532,426.48,93
5,-19.9682,29,0.287129,3.03129,23.7421,561.046,100
92,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
46,-16.987,16,0.213333,2.26721,18.5209,402.127,74
33,-35.5327,8,0.210526,1.95306,36.6963,706.354,37
6,-18.1865,7,0.21875,2.73185,20.2933,522.324,31
91,-21.1817,13,0.180556,2.06729,21.8601,454.8,71
22,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
34,-18.6741,19,0.301587,3.09652,22.8024,520.575,62
88,-28.2527,12,0.12766,2.29147,28.0973,665.575,93
46,-17.6066,30,0.384615,3.08075,23.3796,530.707,77
43,-20.6997,8,0.142857,2.3552,20.912,456.759,55
26,-25.5927,7,0.142857,2.80527,26.2551,591.964,48
89,-19.9358,37,0.255172,2.69162,22.7308,486.941,144
40,-22.5543,17,0.217949,2.65435,24.5676,551.804,77
83,-17.7029,31,0.287037,2.98313,21.4268,515.329,107
5,-24.242,5,0.142857,2.48571,24.5849,635.271,34
76,-18.6558,23,0.298701,3.04665,22.6765,498.68,76
35,-25.0932,11,0.111111,2.4898,24.8052,538.476,98
81,-27.1684,5,0.102041,2.17432,26.3835,535.239,48
41,-22.6943,11,0.092437,2.2672,21.8103,491.172,118
92,-21.8066,4,0.0655738,1.78825,19.9063,391.88,60
83,0,0,0,0,0,0,0
5,-25.5218,14,0.16092,2.47273,26.2129,526.123,86
33,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
39,-22.4743,10,0.175439,2.87563,23.8587,554.395,56
32,-17.62,18,0.352941,2.93647,22.6153,519.893,50
55,-17.8485,22,0.236559,2.97055,20.5503,457.427,92
46,-22.0655,20,0.238095,2.34051,24.168,507.565,83
21,-41.4968,2,0.05,1.58718,39.084,683.791,39
61,0,0,0,0,0,0,0
15,-24.3135,39,0.336207,2.92721,28.9648,606.174,115
27,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
71,-22.0238,10,0.15873,2.49411,22.6925,572.953,62
99,0,0,0,0,0,0,0
91,-17.4864,45,0.371901,3.43395,23.3583,557.221,120
17,0,0,0,0,0,0,0
2,-17.1891,15,0.254237,2.7443,20.0181,432.6,58
24,-22.7251,15,0.159574,2.37532,23.2919,493.388,93
55,-17.8709,17,0.173469,2.17547,18.5158,377.699,97
32,-17.2346,31,0.260504,2.58147,20.0262,417.936,118
34,-20.1216,8,0.135593,1.90094,19.7344,398.719,58
