Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
100,200,2000,42,500,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
86,-79.8249,3,0.0416667,1.37989,77.0382,442.419,71
64,-90.4769,9,0.12,1.51423,89.3912,1271.92,74
41,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,-82.3611,9,0.09375,2.13914,81.3752,688.249,95
84,-91.8422,15,0.180723,1.88525,92.3419,1224.8,82
98,-88.4218,12,0.166667,1.97496,88.7301,1232.12,71
70,-82.0753,5,0.0694444,2.03932,80.5035,644.669,71
0,0,0,0,0,0,0,0
87,-156.383,1,0.047619,1.60952,153.945,1124.55,20
96,-90.2178,16,0.380952,2.42799,95.2648,663.397,41
49,-73.9554,7,0.0714286,1.9272,72.3112,1133.3,97
15,0,0,0,0,0,0,0
12,-103.538,3,0.0491803,1.52924,101.051,615.306,60
68,-95.1457,7,0.170732,2.47195,96.0323,1035.41,40
29,-129.049,3,0.0555556,1.51468,126.675,789.775,53
45,-92.6335,7,0.0482759,1.47543,90.0744,1191.06,144
11,-75.0508,7,0.0958904,2.24962,74.2182,1036.27,72
62,-77.9992,1,0.0138889,1.70325,74.9802,381.632,71
50,-119.517,8,0.2,2.0891,120.606,627.167,39
4,-73.5794,12,0.137931,2.00334,73.3414,1114.09,86
57,-67.3975,25,0.342466,3.01826,72.265,1048.43,72
20,-107.755,11,0.161765,2.8435,108.833,1226.27,67
3,0,0,0,0,0,0,0
36,-64.3319,7,0.0714286,2.05933,62.8198,527.167,97
38,-94.8641,3,0.0333333,1.18315,91.7139,567.019,89
78,0,0,0,0,0,0,0
53,-111.402,0,0,1.17471,107.577,1343.67,29
52,-77.5463,8,0.112676,2.20604,77.0058,1287.19,70
9,-72.2835,20,0.232558,2.70834,74.643,499.949,85
10,-75.891,6,0.0731707,1.6751,74.0295,406.293,81
21,0,0,0,0,0,0,0
32,-78.8643,17,0.136,2.38116,78.9654,482.815,124
40,-66.3242,0,0,1.66822,62.9924,886.097,101
94,-99.1373,1,0.0185185,1.90007,96.4078,662.718,53
59,0,0,0,0,0,0,0
42,-72.4686,26,0.305882,3.21989,76.8062,1098.01,84
79,-89.254,10,0.117647,2.1098,88.7168,1397.74,84
72,-79.7497,18,0.169811,2.6168,80.7627,1367.91,105
80,-94.4643,1,0.0294118,1.61854,91.6711,1247.58,33
5,-66.7791,1,0.0125,1.76297,63.7921,447.92,79
30,-66.6828,13,0.236364,2.66734,69.0774,1109.93,54
77,-62.4133,8,0.097561,1.52454,60.8891,889.261,81
99,-80.5164,17,0.242857,2.81449,83.188,475.712,69
35,-84.34,7,0.0864198,1.68611,82.7545,1133.38,80
43,0,0,0,0,0,0,0
