Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
100,200,2000,42,500,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
32,-23.4413,17,0.236111,2.55556,25.7191,570.467,71
5,-24.0909,25,0.178571,2.1906,24.8529,482.296,139
22,-28.2599,19,0.22619,2.6955,30.4792,677.464,83
91,-25.854,10,0.144928,1.7598,25.5124,468.581,68
32,-19.8753,31,0.267241,2.80007,23.0202,519.1,115
9,0,0,0,0,0,0,0
26,-22.5968,13,0.191176,2.64223,24.0626,553.308,67
9,-21.3567,36,0.413793,3.20716,27.8398,570.222,86
27,-20.8146,16,0.231884,1.89514,22.3474,439.672,68
58,-31.6195,7,0.118644,1.9661,30.9585,571.51,58
40,0,0,0,0,0,0,0
15,-21.183,24,0.275862,2.52432,24.2245,515.276,86
58,0,0,0,0,0,0,0
34,-25.1549,22,0.309859,2.59598,28.9481,619.923,70
89,-20.6582,7,0.116667,2.19379,20.1853,451.592,59
27,0,0,0,0,0,0,0
39,-23.0514,22,0.26506,2.1268,25.4794,510.358,82
83,-26,2,0.133333,2.19048,25.8571,499.243,14
39,-24.5623,5,0.135135,2.31607,24.5811,529.108,36
58,-28.3465,8,0.177778,2.5899,29.4919,713.47,44
33,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
35,-24.9036,4,0.0740741,1.92453,23.3096,443.157,53
40,-22.0864,29,0.214815,2.69149,24.0742,522.644,134
22,0,0,0,0,0,0,0
91,-24.9512,12,0.144578,2.58816,25.4309,597.032,82
99,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
55,-24.9719,20,0.294118,3.01032,28.8646,613.518,67
14,0,0,0,0,0,0,0
22,-19.765,13,0.128713,1.74772,19.0869,362.265,100
83,0,0,0,0,0,0,0
92,-23.0164,36,0.227848,2.63565,25.2091,538.733,157
24,-29.4158,14,0.254545,2.76128,32.268,707.278,54
41,-20.29,26,0.240741,2.9126,23.0174,555.334,107
26,-22.0038,22,0.25,2.80917,24.813,485.998,87
89,-22.9009,30,0.4,2.8027,28.7036,555.816,74
46,0,0,0,0,0,0,0
33,-22.5693,33,0.292035,3.06487,26.4749,596.098,112
83,-24.6429,8,0.106667,2.26937,24.0456,533.889,74
24,-30.2188,19,0.234568,2.84321,32.7534,725.649,80
17,-26.3496,10,0.11236,2.12104,25.7178,515.085,88
22,-25.144,23,0.277108,2.44534,28.1315,552.333,82
58,-29.5391,7,0.179487,1.95682,30.0857,576.923,38
90,0,0,0,0,0,0,0
90,-20.6914,4,0.108108,2.14189,19.9955,438.371,36
72,-28.0199,14,0.112903,2.02308,27.3011,526.247,123
83,0,0,0,0,0,0,0
92,-42.1695,6,0.1,2.15198,41.3215,799.576,59
91,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
9,-22.4229,21,0.170732,2.51133,23.3489,556.899,122
22,-23.4901,8,0.097561,1.78139,22.2227,419.777,81
14,0,0,0,0,0,0,0
9,-24.7318,11,0.192982,2.59555,26.187,571.531,56
83,-23.8059,11,0.142857,2.581,24.244,545.891,76
15,0,0,0,0,0,0,0
14,-24.0269,19,0.322034,2.57627,28.0438,593.885,58
15,-32.4461,22,0.207547,2.32111,33.9181,701.799,105
5,-20.1032,11,0.120879,2.121,19.6418,403.035,90
15,-28.4343,14,0.134615,2.09858,28.2252,573.671,103
55,-25.9562,17,0.163462,2.61053,26.836,606.11,103
22,-27.1983,7,0.0777778,2.44956,26.2034,554.719,89
27,0,0,0,0,0,0,0
5,-21.3792,13,0.158537,2.77206,22.322,510.722,81
88,-21.9163,35,0.3125,2.77783,25.9441,521.625,111
83,-23.9795,13,0.142857,2.70269,24.5393,515.94,90
17,-25.8173,32,0.216216,2.0666,27.2083,503.139,147
30,0,0,0,0,0,0,0
22,-22.7693,27,0.252336,2.96456,25.7806,590.697,106
55,-20.2876,42,0.352941,3.24213,25.5886,567.553,118
83,-28.8582,22,0.309859,2.41026,32.4656,625.362,70
71,-27.0226,17,0.134921,1.95175,26.6728,505.176,125
40,-24.2374,37,0.321739,3.34622,29.0184,668.927,114
30,-49.1778,8,0.210526,2.32148,50.7098,988.534,37
17,-19.8025,23,0.298701,3.04204,23.8185,576.18,76
72,-20.9939,41,0.344538,2.9698,25.8544,536.19,118
9,-21.5331,14,0.164706,2.35994,22.1871,487.52,84
76,-23.0834,28,0.285714,2.74385,26.5416,557.256,97
27,-20.0754,15,0.148515,2.4302,20.4759,470.906,100
21,-19.9659,52,0.52,3.88788,29.2537,688.263,99
6,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
17,-21.9816,28,0.277228,2.95297,25.4791,569.469,100
91,-20.2743,21,0.3,3.23023,24.5046,537.881,69
6,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0
55,-33.3429,1,0.02,1.38286,30.1257,500.278,49
41,-22.7719,10,0.153846,2.60937,23.4582,484.134,64
92,-31.2412,6,0.06,2.00232,29.4435,544.834,99
55,-27.8584,24,0.315789,3.54772,32.7219,714.89,75
40,-20.568,17,0.188889,2.5799,21.9257,520.945,89
55,0,0,0,0,0,0,0
17,-28.2144,23,0.267442,2.28468,30.8479,606.09,85
92,-21.3607,15,0.194805,2.49539,22.7522,459.347,76
88,-21.6431,32,0.290909,3.09475,25.556,546.157,109
90,-26.4708,22,0.293333,2.29712,29.6346,654.835,74
40,-25.0952,13,0.138298,2.47701,25.3381,577.008,93
58,-20.9901,29,0.218045,1.91644,22.2675,453.589,132
30,-34.8031,13,0.185714,1.82133,35.3387,664.221,69
