Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
50,20,500,42,1000,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
42,-61.828,4,0.129032,2.44194,61.8505,1302.14,30
1,-48.7824,4,0.105263,1.93528,47.8229,825.02,37
40,0,0,0,0,0,0,0
28,-42.8722,22,0.231579,2.7112,45.215,931.193,94
14,-43.6129,15,0.241935,2.52723,45.9789,904.314,61
42,-50000,0,0,0,0,0,0
18,-40.8068,9,0.272727,2.88636,44.1477,1048.87,32
29,0,0,0,0,0,0,0
12,-64.4075,5,0.131579,2.1771,64.2162,1187.84,37
18,-48.7073,11,0.268293,2.46646,51.5396,1090.67,40
41,-46.2482,3,0.125,2.37138,46.1196,843.212,23
18,-35.9058,15,0.230769,2.77668,38.2978,875.771,64
22,-40.9428,14,0.208955,2.78426,42.9062,949.63,66
2,0,0,0,0,0,0,0
15,-49.359,9,0.1875,2.7992,50.9082,1101.93,47
6,-36.3859,7,0.175,2.75192,37.6378,824.087,39
22,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
1,-45.7485,6,0.315789,2.52339,49.5877,1367.17,18
20,0,0,0,0,0,0,0
3,-42.2012,3,0.0588235,1.81804,40.1957,764.81,50
14,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
18,-38.1899,9,0.214286,2.17073,39.6463,835.724,41
42,-40.8276,2,0.0689655,2.09236,39.2993,743.257,28
21,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
18,-36.1071,8,0.285714,2.27249,39.0939,748.54,27
15,-43.414,7,0.132075,2.15457,43.2101,929.126,52
14,0,0,0,0,0,0,0
6,-56.2368,11,0.146667,2.20613,56.3762,1106.48,74
14,-48.9921,7,0.35,2.41053,53.4026,984.276,19
17,-38.8724,15,0.375,3.33077,44.7032,1059.17,39
22,-56.9719,7,0.318182,2.6039,60.9394,1242.35,21
6,-35.8624,11,0.186441,2.22385,36.815,761.44,58
40,-38.3744,16,0.242424,2.77786,41.0007,939.565,65
15,-57.2812,4,0.0869565,2.38357,56.4039,1243.42,45
37,-39.0164,4,0.057971,1.96675,37.1426,746.379,68
22,-40.1084,18,0.225,2.46282,42.0712,932.302,79
37,-46.0017,5,0.119048,2.17247,45.5552,862.966,41
12,-37.3331,25,0.280899,2.61517,40.5663,893.09,88
21,-35.9287,7,0.189189,2.33033,37.0428,784.456,36
42,0,0,0,0,0,0,0
6,-58.5074,2,0.117647,2.13971,58,1022.74,16
20,-40.6115,12,0.164384,2.55974,41.4589,826.091,72
15,-43.2027,16,0.202532,2.463,44.7163,973.476,78
18,-49.0316,3,0.130435,1.74111,48.3814,927.711,22
22,-38.8321,17,0.25,2.64706,41.4792,854.199,67
37,-36.4733,11,0.261905,2.98897,39.7003,842.12,41
22,-61.1556,2,0.2,1.75556,61.9111,1079.72,9
