Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
50,20,500,42,1000,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
7,-148.568,0,0,0.889562,144.458,217.194,54
49,-134.146,6,0.1,1.73898,132.885,1890.12,59
10,0,0,0,0,0,0,0
34,-119.685,13,0.245283,2.82293,122.413,2166.83,52
39,-157.496,0,0,0.891572,153.387,1059.33,67
15,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0
30,-119.004,2,0.0285714,1.43168,116.007,1593.65,69
35,-98.3123,15,0.230769,2.47139,100.399,1814.45,64
26,-123.509,0,0,0.884615,119.394,549.541,52
23,-124.065,6,0.26087,2.05138,126.334,1969.81,22
13,-147.282,0,0,1.55537,143.837,1751.76,59
12,-140.388,9,0.1,1.71948,139.107,1952.94,89
19,-124.424,6,0.12766,1.92368,123.901,1987.84,46
37,-145.169,0,0,0.848485,141.017,378.905,21
31,-186.982,1,0.125,1.57143,186.054,2732.79,7
38,-103.195,12,0.210526,2.573,104.978,1900.03,56
5,-131.926,7,0.14,2.2449,131.971,2430.5,49
6,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
22,-105.637,5,0.15625,2.04839,105.811,1605.08,31
27,-106.288,0,0,0.999435,102.287,493.073,59
41,-112.344,0,0,1.22826,108.572,1323.26,23
33,0,0,0,0,0,0,0
43,-50000,0,0,0,0,0,0
9,0,0,0,0,0,0,0
28,-137.578,2,0.2,2.26667,138.844,1575.07,9
46,0,0,0,0,0,0,0
21,-177.137,3,0.15,2.39474,177.532,3285.89,19
32,-119.242,0,0,0.912376,115.155,329.673,81
25,-142.656,0,0,1.20949,138.866,989.464,22
29,-111.609,0,0,0.889663,107.499,421.965,41
44,-106.649,0,0,0.994459,102.643,765.105,68
48,-147.075,6,0.2,2.03793,148.113,2370.51,29
17,-170.418,0,0,1.00947,166.427,610.888,32
14,-122.369,0,0,0.997701,118.367,462.513,29
2,-99.8789,1,0.016129,1.22396,96.4254,1468.49,61
0,-114.876,3,0.0361446,1.38069,111.98,1437.54,82
18,-153.204,3,0.111111,1.82336,152.249,2217.21,26
47,-112.982,17,0.253731,2.3218,115.379,1842.26,66
42,0,0,0,0,0,0,0
8,-111.84,0,0,1.1634,108.003,856.409,17
24,-50000,0,0,0,0,0,0
11,-126.644,10,0.344828,2.61207,131.153,1990.91,28
36,-135.492,0,0,1.01607,131.508,743.379,53
40,-110.447,0,0,0.928163,106.375,380.119,49
4,0,0,0,0,0,0,0
20,-115.014,0,0,1.23871,111.253,1550.11,30
