Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
50,20,500,42,1000,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
25,-47.9355,3,0.09375,1.61895,46.4294,785.259,31
44,-61.0096,8,0.2,2.54231,62.5519,1407.9,39
43,-41.0227,12,0.285714,2.9007,44.6376,990.191,41
6,0,0,0,0,0,0,0
12,-34.5728,3,0.0810811,1.44069,32.6351,507.528,36
21,-36.1579,3,0.157895,2.52632,36.8421,791.076,18
3,-44.7218,2,0.0666667,1.55632,42.6115,707.868,29
13,-46.1373,14,0.237288,2.45996,48.3431,1028.45,58
23,-35.3671,9,0.219512,1.7878,36.5451,812.251,40
28,-36.4846,9,0.155172,2.02632,36.6143,725.329,57
20,-40.8768,11,0.164179,2.20511,41.3654,859.876,66
37,-46.7671,4,0.125,2.20867,46.4758,1000.75,31
28,-36.2267,19,0.2375,2.66582,38.6426,806.5,79
41,-45.7474,12,0.272727,2.72357,48.9255,1026.85,43
40,-54.3044,9,0.183673,2.2551,55.233,1199.92,48
2,-34.3864,1,0.0833333,1.98485,33.0379,704.515,11
6,-58.3684,2,0.105263,1.83041,57.3041,993.523,18
18,-70.0625,1,0.0625,1.70417,68.0167,1583.12,15
37,-50000,0,0,0,0,0,0
22,-45.914,6,0.193548,2.29355,47.0785,1108.17,30
1,-41.37,8,0.145455,2.27273,41.5518,858.154,54
22,-38.4437,5,0.166667,2.48621,39.2632,706.847,29
12,-34.8247,17,0.177083,2.24364,35.61,695.845,95
14,-38.1005,10,0.357143,2.62831,42.8717,896.397,27
44,0,0,0,0,0,0,0
15,-43.678,5,0.151515,2.3892,44.0975,870.193,32
17,-51.8261,13,0.203125,2.47991,53.3685,1165.3,63
14,0,0,0,0,0,0,0
18,-50.3381,5,0.151515,1.93087,50.2992,910.627,32
20,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
42,-36.3238,10,0.277778,2.67143,39.5508,851.721,35
18,0,0,0,0,0,0,0
42,-56.1023,4,0.210526,2.62865,57.9415,1351.85,18
14,-44.175,2,0.0465116,1.83666,41.9419,848.672,42
31,-33.5009,15,0.25,2.5339,36.0347,815.587,59
29,0,0,0,0,0,0,0
48,-45.575,12,0.230769,2.65535,47.8458,1066.7,51
42,-50.2048,10,0.217391,2.90531,52.458,1187.02,45
18,0,0,0,0,0,0,0
40,-34.0676,23,0.27381,2.87794,37.4217,849.84,83
22,-39.2565,10,0.131579,2.17246,39.0605,740.044,75
15,-40.063,23,0.291139,2.85102,43.7368,905.006,78
12,-44.7906,5,0.172414,2.01724,45.2562,930.318,28
10,-50.0693,4,0.181818,2.24242,50.9481,1113.01,21
3,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
15,-45.0583,9,0.163636,2.29192,45.6229,1000.2,54
37,0,0,0,0,0,0,0
