Pop Size, Shuffle Rate, Epoch, Seed, Nodes per Layer, Layers
50,20,500,42,1000,
Id, Score, Wins, Win%, Average Points, Average Rounds, Mistakes, Games Played
3,-54.3298,7,0.14,2.15224,54.282,1068.63,49
31,-34.4657,22,0.261905,2.83649,37.5403,794.025,83
20,-47.079,14,0.229508,2.45929,49.1284,1188.38,60
6,-40.0821,18,0.206897,2.4031,41.6231,916.393,86
18,-53.3379,9,0.113924,1.7853,52.4017,935.506,78
10,-41.1579,2,0.1,2.00526,40.1632,793.266,19
18,-49.68,6,0.139535,1.8278,49.2985,817.351,42
14,-38.1828,13,0.216667,2.70537,40.2215,951.059,59
48,-48.2237,3,0.0882353,1.67023,46.6586,745.044,33
44,-68.2036,1,0.0434783,1.45455,65.5277,1103.06,22
18,0,0,0,0,0,0,0
44,-58.7426,12,0.272727,2.40169,61.5988,1258.97,43
41,-34.7325,13,0.361111,2.74365,39.6984,814.864,35
2,-46.022,4,0.105263,1.77738,44.9047,759.355,37
14,-51.484,2,0.0689655,1.38177,49.2451,737.765,28
37,-42.3762,7,0.333333,2.72857,46.7714,1284.61,20
6,-48.1587,4,0.0833333,1.83998,46.6653,839.689,47
42,0,0,0,0,0,0,0
22,-36.1143,2,0.0952381,2.10952,35.1286,708.574,20
21,-36.1156,14,0.378378,3.36261,42.0458,1196.76,36
15,0,0,0,0,0,0,0
37,-57.5012,8,0.121212,1.92308,56.8485,949.036,65
17,-72.7254,5,0.128205,1.57625,71.8657,1163.53,38
14,-37.0736,5,0.227273,2.33333,38.9524,744.234,21
12,0,0,0,0,0,0,0
29,-75.7121,1,0.0833333,1.56818,73.947,1109.38,11
22,-61.7846,6,0.26087,2.81423,64.8162,1562.05,22
15,-51.5202,2,0.0625,1.22581,48.996,734.39,31
28,-82.5874,4,0.0888889,1.5096,80.8747,1249.04,44
1,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
3,-36.2503,4,0.0714286,1.38669,34.0656,548.124,55
40,-34.908,11,0.189655,2.51452,36.2157,803.478,57
18,-36.5823,21,0.308824,2.76932,40.5281,869.149,67
42,-62.6724,4,0.133333,1.48736,61.8264,985.564,29
6,0,0,0,0,0,0,0
42,-37.623,11,0.234043,2.62211,39.926,828.576,46
29,-55.4468,17,0.293103,3.42619,59.735,1350.56,57
21,-37.7575,4,0.08,1.83878,36.1963,637.987,49
18,0,0,0,0,0,0,0
37,-47.8442,23,0.302632,2.73105,51.6279,1137.95,75
18,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
15,-72.9333,2,0.2,2.75556,74.6889,1550.52,9
14,0,0,0,0,0,0,0
40,-35.7525,7,0.116667,1.7209,34.8068,639.098,59
6,-54.641,3,0.0769231,1.78205,52.9615,854.752,38
22,0,0,0,0,0,0,0
22,-33.0159,26,0.351351,2.58663,37.6296,774.964,73
22,-47.6321,3,0.0810811,2.04054,46.2943,810.922,36
